id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,etymology_summary_es,named_after_es
street_001,Calle de Alcalá,street,calle,Centro,,40.4189,-3.7014,place,"Named as the main road leading to Alcala de Henares, the ancient Roman city of Complutum east of Madrid. One of the longest and oldest streets in Madrid.",Alcala de Henares,Q46940,,,,,,,,Wikipedia; Madripedia,verified,"Nombrada como el camino principal que conducía a Alcalá de Henares, la antigua ciudad romana de Complutum, al este de Madrid. Una de las calles más largas y antiguas de Madrid.",Alcalá de Henares
street_002,Gran Vía,street,avenida,Centro,,40.4210,-3.7050,descriptive,"'Great Way' -- Madrid's grand east-west boulevard, built 1910-1929 by demolishing hundreds of old buildings to create a modern commercial thoroughfare. Project proposed by Carlos Velasco in 1886.",Gran Vía,Q1324163,,,,,,1910,,,es.wikipedia.org/wiki/Gran_V%C3%ADa_(Madrid); MadridMobilite; comunidad.madrid,"'Gran Vía': el gran bulevar madrileño de este a oeste, construido entre 1910 y 1929 demoliendo centenares de edificios antiguos para abrir una moderna arteria comercial. Proyecto propuesto por Carlos Velasco en 1886.",Gran Vía
street_003,Calle de Preciados,street,calle,Centro,,40.4183,-3.7053,person,"Named after the Preciado family, landowners who owned property along this street since medieval times. The name was already documented in the 15th century.",Familia Preciado,,,,,,,,,Madripedia; Wikipedia,verified,"Debe su nombre a la familia Preciado, propietarios de tierras a lo largo de esta calle desde la Edad Media. El nombre ya estaba documentado en el siglo XV.",Familia Preciado
street_004,Calle del Arenal,street,calle,Centro,,40.4173,-3.7077,descriptive,From 'arenal' (sandy ground). The street was built over a sandy terrain/streambed. A common descriptive name for areas with sandy soil.,,,,,,,,,,Madripedia; Wikipedia,verified,De 'arenal' (terreno arenoso). La calle se trazó sobre un terreno de arena o lecho de arroyo. Nombre descriptivo habitual para zonas de suelo arenoso.,
street_005,Calle de los Cuchilleros,street,calle,Centro,,40.4140,-3.7075,occupation,Named after the knife-makers ('cuchilleros') whose workshops lined this street near the Plaza Mayor. One of the classic trade-guild street names of medieval Madrid.,,,,,,,,,,Madripedia; es.wikipedia.org/wiki/Calle_de_Cuchilleros; callesdemadrid.cc,verified,Debe su nombre a los cuchilleros cuyos talleres se alineaban en esta calle junto a la Plaza Mayor. Uno de los nombres gremiales clásicos del Madrid medieval.,
street_006,Calle de Esparteros,street,calle,Centro,,40.4164,-3.7032,occupation,"Named after the esparto grass weavers ('esparteros') who had their workshops here, making baskets, mats, and sandals from esparto fiber.",,,,,,,,,,Madripedia; es.wikipedia.org/wiki/Calle_de_los_Esparteros; callesdemadrid.cc,verified,"Debe su nombre a los esparteros que tenían aquí sus talleres, fabricando cestas, esteras y alpargatas con fibra de esparto.",
street_007,Calle de Latoneros,street,calle,Centro,,40.4145,-3.7070,occupation,Named after the brass/tin workers ('latoneros') who operated workshops in this area near the Plaza Mayor.,,,,,,,,,,Madripedia; callesdemadrid.cc,verified,Debe su nombre a los latoneros que operaban talleres en esta zona cercana a la Plaza Mayor.,
street_008,Calle de Cabestreros,street,calle,Centro,,40.4083,-3.7011,occupation,Named after the rope/halter makers ('cabestreros') who produced cabestros (halters/lead ropes) for livestock. Part of the medieval guild street naming pattern.,,,,,,,,,,Madripedia; callesdemadrid.cc,verified,"Debe su nombre a los cabestreros, fabricantes de cabestros (ronzales/cabezadas) para el ganado. Forma parte del patrón medieval de denominación gremial de las calles.",
street_009,Calle de Toledo,street,calle,Centro,,40.4092,-3.7066,place,"Named as the ancient road leading south from Madrid to Toledo, the former capital of Castile. One of the oldest documented street names in Madrid.",Toledo,Q5836,,,,,,,,Madripedia; Wikipedia,verified,"Nombrada como el antiguo camino que partía al sur de Madrid hacia Toledo, la antigua capital de Castilla. Uno de los nombres de calle más antiguos documentados en Madrid.",Toledo
street_010,Calle de Segovia,street,calle,Centro,,40.4130,-3.7128,place,Named as the road leading northwest to Segovia. Follows the route of an ancient path that descended from the Moorish alcazar toward the Manzanares river.,Segovia,Q15684,,,,,,,,Madripedia; Wikipedia,verified,Nombrada como el camino que se dirigía al noroeste hacia Segovia. Sigue el trazado de una antigua senda que descendía desde el alcázar árabe hacia el río Manzanares.,Segovia
