id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,etymology_summary_es,named_after_es
district_01,Centro,district,,Centro,,40.4155,-3.7074,descriptive,"Self-explanatory: the historic centre of Madrid, the original core around the Puerta del Sol and Plaza Mayor.",,,,,,,,,,Madripedia; Wikipedia,verified,"Autoexplicativo: el centro histórico de Madrid, el núcleo original en torno a la Puerta del Sol y la Plaza Mayor.",
district_02,Arganzuela,district,,Arganzuela,,40.3973,-3.6963,place,From 'Arganduela' meaning 'Pequeña Arganda' (little Arganda). Settlers from Arganda del Rey established themselves on the south bank of the Manzanares river.,Arganda del Rey,,,,,,,,,Civitatis; Historias Matritenses,probable,"De 'Arganduela', que significa 'pequeña Arganda'. Colonos procedentes de Arganda del Rey se establecieron en la margen sur del río Manzanares.",Arganda del Rey
district_03,Retiro,district,,Retiro,,40.4094,-3.6825,historical,"From the Palacio del Buen Retiro (1633), built by Felipe IV as a royal retreat. The word 'retiro' means retreat/rest. Origin traces to the San Jeronimo el Real monastery where monarchs retired during Lent and mourning periods.",Palacio del Buen Retiro,Q962117,,,,,,,,Wikipedia; Civitatis,verified,"Del Palacio del Buen Retiro (1633), construido por Felipe IV como lugar de descanso real. La palabra 'retiro' significa reposo o apartamiento. Su origen se remonta al monasterio de San Jerónimo el Real, donde los monarcas se retiraban durante la Cuaresma y los periodos de luto.",Palacio del Buen Retiro
district_04,Salamanca,district,,Salamanca,,40.4299,-3.6783,person,"Named after José de Salamanca y Mayol (1811-1883), Marquis of Salamanca, politician, financier, and real estate developer who planned and built the neighbourhood in the mid-19th century.",José de Salamanca y Mayol,Q3177141,M,1811,1883,politician; financier; real estate developer,Spanish,,,Civitatis; Wikipedia,verified,"Debe su nombre a José de Salamanca y Mayol (1811-1883), marqués de Salamanca, político, financiero y promotor inmobiliario que planificó y edificó el barrio a mediados del siglo XIX.",José de Salamanca y Mayol
district_05,Chamartín,district,,Chamartín,,40.4621,-3.6773,place,"Former independent municipality annexed in 1948. From Basque origin, per Menéndez Pidal (1951). The documented medieval form 'Echamartin' (1247) contains the Castilian evolution of Basque 'aita' (father/chief), appearing in documents as 'ecta/echa'. Thus: Echa-Martin > Chamartin = 'the estate of chief Martin'. Same pattern as Chaherrero (Avila) and Robledo de Chavela.",,,,,,,,1948,,Toponomasticon Hispaniae (toponhisp.org/es/toponimia-de-las-zonas-central-sur-e-insular-atlantica/toponimo/chamartin); Menéndez Pidal 1951; documented form 'Echamartin' 1247; CVC Rinconete; García Sánchez 2010,probable,"Antiguo municipio independiente anexionado en 1948. De origen vasco según Menéndez Pidal (1951). La forma medieval documentada 'Echamartín' (1247) contiene la evolución castellana del vasco 'aita' (padre/jefe), que aparece en documentos como 'ecta/echa'. Así: Echa-Martín > Chamartín = 'la propiedad del jefe Martín'. Mismo patrón que Chaherrero (Ávila) y Robledo de Chavela.",
district_06,Tetuán,district,,Tetuán,,40.4610,-3.6987,event,"Named 'Tetuan de las Victorias' after Spanish troops returning from victory at Tetouan (Morocco) in the African War of 1860. The soldiers camped in this area upon their return, and the settlement that grew around it took the name.",Battle of Tetuan (1860),Q4872623,,,,,,,,Wikipedia; Civitatis,verified,"Denominado 'Tetuán de las Victorias' en honor a las tropas españolas que regresaron victoriosas de Tetuán (Marruecos) durante la Guerra de África de 1860. Los soldados acamparon en esta zona a su vuelta, y el asentamiento que creció a su alrededor adoptó el nombre.",Batalla de Tetuán (1860)
district_07,Chamberí,district,,Chamberí,,40.4351,-3.7017,place,"Disputed etymology. The most probable link is via Queen Bárbara de Braganza, who founded the Royal Salesas Convent (c.1748) with nuns from Chambery/Annecy in Savoy; the toponym first appears on Chalmandrier's 1761 map. Alternative: Luisa Gabriela de Saboya (wife of Felipe V). The Napoleonic regiment theory is refuted by the 1761 map predating Napoleon. Other theories: French regiment during War of Independence; Celtic origin.",Chambery (Savoy),Q165090,,,,,,,,Pedro de Repide; Chalmandrier map 1761; Secretos de Madrid; Caridad Arias 2004; Chamberi30dias; Ayuntamiento de Madrid 'Historia de Chamberi',uncertain,"Etimología disputada. El vínculo más probable es a través de la reina Bárbara de Braganza, que fundó el Real Convento de las Salesas (c. 1748) con monjas procedentes de Chambéry/Annecy en Saboya; el topónimo aparece por primera vez en el mapa de Chalmandrier de 1761. Alternativa: Luisa Gabriela de Saboya (esposa de Felipe V). La teoría del regimiento napoleónico queda refutada porque el mapa de 1761 es anterior a Napoleón. Otras teorías: regimiento francés durante la Guerra de la Independencia; origen celta.",Chambéry (Saboya)
district_08,Fuencarral-El Pardo,district,,Fuencarral-El Pardo,,40.5119,-3.7242,descriptive,Compound name. Fuencarral: from 'Fuente Carral' -- a spring (fuente) where carts (carros) stopped and animals drank on the old road to Alcobendas. The stopping place for carts was called a 'carra'. El Pardo: from the brownish/dark ('pardo') colour of the landscape of the royal hunting estate.,,,,,,,,,,El Rincon de Mayrit; es.wikipedia.org/wiki/Fuencarral; Historias Matritenses; Vena Madrid,probable,"Nombre compuesto. Fuencarral: de 'Fuente Carral', un manantial (fuente) donde los carros se detenían y los animales bebían en el antiguo camino a Alcobendas. El lugar de parada de los carros se llamaba 'carra'. El Pardo: del color pardo (marrón oscuro) del paisaje del cazadero real.",
district_09,Moncloa-Aravaca,district,,Moncloa-Aravaca,,40.4357,-3.7318,historical,"Compound name. Moncloa: from the Palacio de la Moncloa, possibly from 'Mons Clovis' (Latin). Now the official residence of the Prime Minister. Aravaca: Caridad Arias (Anales IEM 44, 2004) argues for Celtic origin, with the root *ara- meaning 'water'. First documented 1427; appears in Alfonso VIII's 1222 fuero.",,,,,,,,,,Caridad Arias (Anales IEM 44, 2004: dialnet.unirioja.es/servlet/articulo?codigo=3012173); es.wikipedia.org/wiki/Estacion_de_Moncloa; eldiario.es,"Nombre compuesto. Moncloa: del Palacio de la Moncloa, posiblemente de 'Mons Clovis' (latín). Actualmente es la residencia oficial del Presidente del Gobierno. Aravaca: Caridad Arias (Anales IEM 44, 2004) defiende un origen celta con la raíz *ara- que significa 'agua'. Primera documentación en 1427; aparece en el fuero de Alfonso VIII de 1222.",
district_10,Latina,district,,Latina,,40.4019,-3.7388,person,"Named after Beatriz Galindo 'La Latina' (1465-1534), a humanist scholar who was Latin tutor and advisor to Queen Isabel la Católica. She founded the Hospital de la Latina in this area.",Beatriz Galindo,Q1708316,F,1465,1534,humanist; Latin scholar; royal advisor,Spanish,,,Wikipedia; Civitatis,verified,"Debe su nombre a Beatriz Galindo, 'La Latina' (1465-1534), humanista que fue preceptora de latín y consejera de la reina Isabel la Católica. Fundó el Hospital de la Latina en esta zona.",Beatriz Galindo
