id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,etymology_summary_es,named_after_es
neighbourhood_001,Malasana,neighbourhood,,Centro,Malasana,40.4260,-3.7037,person,"Named after Manuela Malasana (1791-1808), a young seamstress killed resisting Napoleon's troops during the May 2, 1808 uprising. The neighbourhood was formerly called 'Barrio de las Maravillas' (after the Virgen de las Maravillas convent). The name Malasana became popular during the 1980s Movida cultural movement.",Manuela Malasana,Q2984294,F,1791,1808,seamstress,Spanish,,Barrio de las Maravillas,Civitatis; Wikipedia,verified,"Debe su nombre a Manuela Malasaña (1791-1808), una joven costurera muerta al resistir a las tropas de Napoleón durante el levantamiento del 2 de mayo de 1808. El barrio se llamaba antes 'Barrio de las Maravillas' (por el convento de la Virgen de las Maravillas). El nombre Malasaña se popularizó durante la Movida cultural de los años 80.",Manuela Malasaña
neighbourhood_002,Lavapies,neighbourhood,,Centro,Lavapies,40.4095,-3.7015,historical,Disputed etymology: (1) From a fountain where Jews washed their feet ('lava pies') before entering the synagogue in the nearby Jewish quarter; (2) From the muddy Manzanares river waters that dirtied feet. The Jewish quarter theory is most widely cited but debated by historians.,,,,,,,,,,Civitatis; Wikipedia,uncertain,"Etimología disputada: (1) De una fuente donde los judíos se lavaban los pies ('lava pies') antes de entrar en la sinagoga de la cercana judería; (2) De las aguas cenagosas del Manzanares, que ensuciaban los pies. La teoría de la judería es la más citada, pero historiadores la cuestionan.",
neighbourhood_003,Chueca,neighbourhood,,Centro,Chueca,40.4236,-3.6987,person,"Named after composer Federico Chueca (1846-1908), master of the genero chico zarzuela (Spanish light opera). The plaza was named after him; the barrio adopted the name. Since the 1990s it has become Madrid's main LGBTQ+ neighbourhood.",Federico Chueca,Q652534,M,1846,1908,composer,Spanish,,,Civitatis; Wikipedia,verified,"Debe su nombre al compositor Federico Chueca (1846-1908), maestro de la zarzuela de género chico (ópera ligera española). La plaza recibió su nombre; el barrio lo adoptó después. Desde los años 90 se ha convertido en el principal barrio LGBTQ+ de Madrid.",Federico Chueca
neighbourhood_004,Barrio de las Letras,neighbourhood,,Centro,Barrio de las Letras,40.4134,-3.6972,historical,"Named for the cluster of Golden Age (Siglo de Oro) writers who lived there in the 16th-17th centuries: Miguel de Cervantes, Lope de Vega, Francisco de Quevedo, Luis de Gongora. Also known as Huertas.",,,,,,,,,,Civitatis; Wikipedia,verified,"Nombrado por la concentración de escritores del Siglo de Oro que vivieron allí en los siglos XVI-XVII: Miguel de Cervantes, Lope de Vega, Francisco de Quevedo, Luis de Góngora. También conocido como Huertas.",
neighbourhood_005,Salamanca,neighbourhood,,Salamanca,Salamanca,40.4299,-3.6783,person,"Named after José de Salamanca y Mayol (1811-1883), Marquis of Salamanca, the financier who developed and built this upscale neighbourhood in the mid-19th century.",José de Salamanca y Mayol,Q3177141,M,1811,1883,politician; financier,Spanish,,,Civitatis; Wikipedia,verified,"Debe su nombre a José de Salamanca y Mayol (1811-1883), marqués de Salamanca, el financiero que promovió y edificó este elegante barrio a mediados del siglo XIX.",José de Salamanca y Mayol
neighbourhood_006,Los Austrias,neighbourhood,,Centro,Los Austrias,40.4149,-3.7104,historical,"Named after the House of Austria (Habsburg dynasty) that ruled Spain from 1516 (Charles I) to 1700 (Charles II). This is the oldest part of Madrid, developed during Habsburg rule, including the Plaza Mayor (1619) and surrounding streets.",House of Austria (Spanish Habsburgs),Q65968,,,,,,,,TakeWalks; Wikipedia,verified,"Nombrado en referencia a la Casa de Austria (dinastía de los Habsburgo) que gobernó España desde 1516 (Carlos I) hasta 1700 (Carlos II). Es la parte más antigua de Madrid, desarrollada durante el dominio de los Austrias, incluyendo la Plaza Mayor (1619) y las calles circundantes.",Casa de Austria (Habsburgo españoles)
neighbourhood_007,Prosperidad,neighbourhood,,Chamartin,Prosperidad,40.4429,-3.6704,person,"Named after Prospero Soynard y Polen, a Frenchman who bought land north of Madrid in 1862 and subdivided it for development. The settlement that grew was called 'Prosperidad' after his first name. Working-class immigrants from Spain's interior populated the area. The metro station (opened 1973) and the Colonia Esperanza (nearby) both serve this neighbourhood.",Prospero Soynard,,M,,,landowner; developer,French,1862,,es.wikipedia.org/wiki/Prosperidad_(Madrid); TakeWalks; historias-matritenses.blogspot.com,probable,"Debe su nombre a Próspero Soynard y Polen, un francés que compró terrenos al norte de Madrid en 1862 y los parceló para su urbanización. El asentamiento que surgió se llamó 'Prosperidad' en referencia a su nombre de pila. Inmigrantes obreros del interior de España poblaron la zona. La estación de metro (inaugurada en 1973) y la Colonia Esperanza (cercana) dan servicio a este barrio.",Próspero Soynard
neighbourhood_008,Delicias,neighbourhood,,Arganzuela,Delicias,40.3966,-3.6929,descriptive,From 'las delicias del rio' (the delights of the river). The Paseo de las Delicias was created mid-18th century under Fernando VI as an extension of the Paseo del Prado heading south toward the Manzanares. The nearby Delicias railway station (1880) is now the Railway Museum.,,,,,,,,,,Secretos de Madrid; es.wikipedia.org/wiki/Estacion_de_Delicias_(Metro_de_Madrid); museodelferrocarril.org,probable,"De 'las delicias del río'. El Paseo de las Delicias fue creado a mediados del siglo XVIII bajo Fernando VI como prolongación del Paseo del Prado hacia el sur, en dirección al Manzanares. La cercana estación de Delicias (1880) alberga hoy el Museo del Ferrocarril.",
neighbourhood_009,Leganitos,neighbourhood,,Centro,Leganitos,40.4222,-3.7127,historical,From Arabic 'algannet' meaning 'the orchards' or 'the gardens'. Refers to the agricultural land that existed in this area before urbanization. The Calle de los Leganitos preserves the name.,,,,,,,,,,es.wikipedia.org/wiki/Calle_de_los_Leganitos; Madripedia,probable,"Del árabe 'algannet', que significa 'los huertos' o 'los jardines'. Alude a los terrenos agrícolas que existían en esta zona antes de la urbanización. La calle de los Leganitos conserva el nombre.",
neighbourhood_010,Vallecas,neighbourhood,,Puente de Vallecas,Vallecas,40.3926,-3.6620,descriptive,"From 'Valle de Cas' (oak valley), documented as 'Balecas' in the 1202 Fuero de Madrid. One of the oldest documented place names in the Madrid area.",,,,,,,,,,Wikipedia; TakeWalks,verified,"De 'Valle de Cas' (valle de robles), documentado como 'Balecas' en el Fuero de Madrid de 1202. Uno de los topónimos más antiguos documentados del área madrileña.",
